company,field,before,after
FreightAmigo,description,FreightAmigo is a logistics company that specializes in supply chain management an_. S.A.R Hong Kong fr eightamigo,is a logistics company that specializes in supply chain management an_. S.A.R Hong Kong fr eightamigo
FreightAmigo,company_address,Tong;,Tong
FreightAmigo,growth_metrics,9% | 9% | 27% | 64% | 360% | -2%,9% | 27% | 64% | 360% | -2%
Fresho,description,Fresho is wholesale food supply management: It offer_ software provider specializing in fresho-,is wholesale food supply management: It offer_ software provider specializing in fresho-
Frontify,description,Frontify is a brand management software company that offers solutions for organizing_ frontify com fr ontify,is a brand management software company that offers solutions for organizing_ frontify com fr ontify
Frontify,growth_metrics,3% | 5% | 3% | 11% | 68 % | 141% | 13%,3% | 5% | 11% | 68 % | 141% | 13%
GearLaunch,description,GearLaunch is an e-commerce platform that specializes in print-on-demand services __. gearlaunch com (USA) #arlaunch,is an e-commerce platform that specializes in print-on-demand services __. gearlaunch com (USA) #arlaunch
GearLaunch,growth_metrics,"2% | 6% | 6 % | 26% | 68% | 104% | 132% | ""185%",2% | 6% | 6 % | 26% | 68% | 104% | 132% | 185%
Geniemode,growth_metrics,"-4% | 0% | 4% | 23% | 137% | 2,533% | 54%",-4% | 0% | 4% | 23% | 137% | 533% | 54%
GoExpedi,description,GoExpedi is an industrial supply company that revolutionizes the supply chain for heavy_. (USA) guexpedi,is an industrial supply company that revolutionizes the supply chain for heavy_. (USA) guexpedi
GoExpedi,company_address,"8844 N Sam Houston Pkwy W; Suite 210; Houston, Texas 77064,","8844 N Sam Houston Pkwy W; Suite 210; Houston, Texas 77064"
GoExpedi,growth_metrics,-14% | -16 % | 16 % | -16 % | -49% | -66 % | 68% | -47%,-14% | -16 % | 16 % | -49% | -66 % | 68% | -47%
GoFreight,description,GoFreight is in freight forwarding solutions. They software company specia provide _. llizing gofreight com Los Angeles hilrd-core - technology-corp_,is in freight forwarding solutions. They software company specia provide _. llizing gofreight com Los Angeles hilrd-core - technology-corp_
Gokomodo,growth_metrics,"7% | 7% | 18% | 18 % | 29% | 161% | 750% | 1,754% | ~37%",7% | 18% | 18 % | 29% | 161% | 750% | 754% | ~37%
GreenPocket GmbH,description,GreenPocket GmbH F energy management solutions company specializing They . ~offer greenpocket com eenpocket-gmbh,F energy management solutions company specializing They . ~offer greenpocket com eenpocket-gmbh
GreenPocket GmbH,growth_metrics,18 % | 25% | 18 % | 22% | ~2% | ~4% | -47%,18 % | 25% | 22% | ~2% | ~4% | -47%
GreyOrange,growth_metrics,0% | 3% | 5% | 3% | 10% | 38% | 64% | -10%,0% | 3% | 5% | 10% | 38% | 64% | -10%
Group,headcount,"""201-500",
Group,company_address,"No. 2337 Gudai Road, Minhang District; Shanghai,","No. 2337 Gudai Road, Minhang District; Shanghai"
Group,growth_metrics,~2% | ~3% | 43% | ~3% | 3% | ~4%,~2% | ~3% | 43% | 3% | ~4%
Grubtech,growth_metrics,"4% | 7% | 22% | 33% | 40% | ""213% | 840%",4% | 7% | 22% | 33% | 40% | 213% | 840%
Higharc,description,Higharc = that offers an intelligent platform for homebuilding software provider higharc com higharc,= that offers an intelligent platform for homebuilding software provider higharc com higharc
Hivery,description,HIVERY is a retail technology company specializing in Al-driven solutions for_. hivery com hivery,is a retail technology company specializing in Al-driven solutions for_. hivery com hivery
Hivery,growth_metrics,~66% | 90% | 98 % | 98 % | 98 % | 98 % | ~97% | 89%,~66% | 90% | 98 % | ~97% | 89%
Hubilo,description,Hubilo is a technology company specializing in webinar software and event marketing_. (USA) hubilo,is a technology company specializing in webinar software and event marketing_. (USA) hubilo
Hubilo,growth_metrics,"9% | -11% | 11% | ~25% | 25% | -56 % | -64% | -48% | ""147% | -55%",9% | -11% | 11% | ~25% | 25% | -56 % | -64% | -48% | 147% | -55%
HypaShip,description,HypaShip is a logistics technology provider that offers modular; end-to-end platform __. Witney hwpaship,is a logistics technology provider that offers modular; end-to-end platform __. Witney hwpaship
HypaShip,growth_metrics,5 % | 10% | 16% | 16 % | 16 % | 5% | -15%,5 % | 10% | 16% | 16 % | 5% | -15%
Hyperlounge,headcount,44-41 0/0[42l2Tl is a data analysis service,
Hyperlounge,company_address,"485443374452 130; 4s2itji2 14012; 48544,",485443374452 130; 4s2itji2 14012; 48544
Hyperlounge,growth_metrics,-8% | -32% | 32% | -32% | 32% | 30% | 40% | 133%,-8% | -32% | 32% | 30% | 40% | 133%
IdeaSoft Yazilim,company_address,"Cumhuriyet Mah: Libadiye Cad. Cimen Sok No:2; Istanbul,",Cumhuriyet Mah: Libadiye Cad. Cimen Sok No:2; Istanbul
Ignite,growth_metrics,2% | 2% | 5% | 18 % | 14% | 77% | 212% | 5%,2% | 5% | 18 % | 14% | 77% | 212%
ImageDT BEE#E,growth_metrics,2% | ~2% | 2% | -2% | 2% | -2% | -14% | -11% | 14% | 84%,2% | ~2% | -2% | -14% | -11% | 14% | 84%
IndicaOnline POS Software,growth_metrics,~6% | 6% | 7% | 7%/ | -17% | 17% | 12% | 133% | 211% | 180% | ~24% | -24%,~6% | 6% | 7% | -17% | 17% | 12% | 133% | 211% | 180% | ~24% | -24%
Insite Al,growth_metrics,3% | 8% | 8 % | -4% | 4% | 1% | 116 % | 8 % | 318%,3% | 8% | 8 % | -4% | 4% | 1% | 116 % | 318%
Inspectorio,company_address,"6th St ; Suite 3900; Minneapolis, Minnesota MN 55402,","6th St ; Suite 3900; Minneapolis, Minnesota MN 55402"
InstaFreight,headcount,"""201-500",
inVia Robotics,growth_metrics,3% | 71% | ~1% | 8 % | -8 % | -14% | -35% | 20% | 20% | 59%,3% | 71% | ~1% | 8 % | -8 % | -14% | -35% | 20% | 59%
ItrxxbnitrefAJ,growth_metrics,34% | 1% | 1% | 5% | 27%,34% | 1% | 5% | 27%
Iunu,description,IUNU is an agricultural technology company that provides Al-assisted growing solutions. iunu com Seattle iunu,is an agricultural technology company that provides Al-assisted growing solutions. iunu com Seattle iunu
Iunu,growth_metrics,4% | -7% | -7% | -12% | 13% | 73% | 143% | 155%,4% | -7% | -12% | 13% | 73% | 143% | 155%
jitiaei^TIRA,company,jitiaei^TIRA-,jitiaei^TIRA
jitiaei^TIRA,growth_metrics,9% | 18 % | 15% | 11% | 18 % | 40% | ~72%,9% | 18 % | 15% | 11% | 40% | ~72%
Kardinal,growth_metrics,~1% | 32% | 7%/ | 7% | 3% | 14% | 128% | 128 % | 128 % | 128%,~1% | 32% | 7% | 3% | 14% | 128% | 128 %
Katana Cloud Inventory,description,Katana cloud inventory management solutions: software company that provides katanamrp: com Estonia Harju Tallinn Itanamrp,management solutions: software company that provides katanamrp: com Estonia Harju Tallinn Itanamrp
Katana Cloud Inventory,growth_metrics,-13% | -16% | -16 % | -16% | -16 % | -18% | 8 % | 137% | 447% | -18%,-13% | -16% | -16 % | -18% | 8 % | 137% | 447%
Keen Decision Systems,growth_metrics,10% | 18 % | 10% | -1% | -1% | 13% | 54% | 72%,10% | 18 % | -1% | 13% | 54% | 72%
Khulal,description,Khula digital solutions for farmers and buyers an agri-tech platform that provides Ath;; khula.co.za South Africa Gauteng Johannesburg ktiulaagriculturete __.,Khula digital solutions for farmers and buyers an agri-tech platform that provides Ath;; .za South Africa Gauteng Johannesburg ktiulaagriculturete __.
Khulal,company_address,"Bompas Road Dunkeld West; Johannesburg, Gauteng 2191,","Bompas Road Dunkeld West; Johannesburg, Gauteng 2191"
Kiddom,description,Kiddom is an educational technology provider that offers comprehensive digital curriculu__. kiddom co San Francisco kiddom,is an educational technology provider that offers comprehensive digital curriculu__. kiddom co San Francisco kiddom
Kleene.ai,description,"28, 2025 12.57 PM ~solutions provider that offers solutions provider that offers Kleene.ai is ~data management ad Al data management and Al range of__ range of_.. kleene: kleene.ai (UK) minoro","28, 2025 12.57 PM ~solutions provider that offers solutions provider that offers is ~data management ad Al data management and Al range of__ range of_.. kleene: (UK) minoro"
Kleene.ai,company_address,"32-38 Leman Street, Aldgate East; Aldgate East; London,","32-38 Leman Street, Aldgate East; Aldgate East; London"
Kojo,description,Kojo is material management solutions for the__ material management solutions for the: software company that provides San Francisco aglora-systems-inc arlora-systems-inc,is material management solutions for the__ material management solutions for the: software company that provides San Francisco aglora-systems-inc arlora-systems-inc
LBB,description,LBB is a technology company that specializes in mobile ordering solutions for the food__ Ibb.co.jp ~Japan Osaka Osaka nia,is a technology company that specializes in mobile ordering solutions for the food__ .jp ~Japan Osaka Osaka
LeanDNA,description,LeanDNA is in inventory optimization and supply chain_. software company specializing (USA) Ieandna,is in inventory optimization and supply chain_. software company specializing (USA) Ieandna
LevaData,company_address,Floor;,Floor
Leverage,description,Leverage Al is company that offers Al-powered solutions supply chain management Ivrginc,Al is company that offers Al-powered solutions supply chain management Ivrginc
Leverage,growth_metrics,"~2% | 16% | 16 % | -10% | -10% | 29% | 400% | 1,650% | -12%",~2% | 16% | 16 % | -10% | 29% | 400% | 650% | -12%
Livespace,description,Livespace is offers comprehensive platform designed - CRM software provider that Warsaw Iin 'espace,is offers comprehensive platform designed - CRM software provider that Warsaw Iin 'espace
Livespace,growth_metrics,3% | F1% | 1% | 43% | 73% | 68 % | 103% | 126 % | -17%,3% | 1% | 43% | 73% | 68 % | 103% | 126 % | -17%
Logcomex,description,Logcomex is a logistics technology company that provides software solutions for planning_ logcomex com Cidade De. logcomex,is a logistics technology company that provides software solutions for planning_ logcomex com Cidade De. logcomex
LogicLadder,description,LogicLadder E provider that offers solutions for energy_. sustainability software logicladder com logicladder,E provider that offers solutions for energy_. sustainability software logicladder com logicladder
LogicLadder,company_address,"Unitech Cyber Park; Sector 39; Gurugram,",Unitech Cyber Park; Sector 39; Gurugram
Logistics Operating,growth_metrics,-9% | -6% | 6 % | -6% | 6 % | -17% | 16 % | 93% | 480%,-9% | -6% | 6 % | -17% | 16 % | 93% | 480%
Logiwa,description,Logiwa is warehouse management and fulfillment__. software company specializing in Chicago logiwa,is warehouse management and fulfillment__. software company specializing in Chicago logiwa
Logixboard,description,Logixboard is a logistics technology provider that offers a customer experience platform_. logixboard com Seattle logixboard,is a logistics technology provider that offers a customer experience platform_. logixboard com Seattle logixboard
Logixboard,company_address,"1100 NE Campus Pkwy; Suite 200; Seattle, Washington 98105,","1100 NE Campus Pkwy; Suite 200; Seattle, Washington 98105"
Logixboard,growth_metrics,~2% | ~2% | 2% | -41% | -60% | -52% | 27% | 206% | 4%,~2% | 2% | -41% | -60% | -52% | 27% | 206% | 4%
LoyaltyLion,description,LoyaltyLion is offers software solutions to enhance: loyalty program provider that Ioyaltylion com London Ioyaltylion,is offers software solutions to enhance: loyalty program provider that Ioyaltylion com London Ioyaltylion
Makersite,description,Makersite is in product lifecycle intelligence and_ software company specializing Stuttgart makersitede,is in product lifecycle intelligence and_ software company specializing Stuttgart makersitede
Makersite,growth_metrics,13% | 32% | 64% | 154% | 431% | 963% | 963% | -20%,13% | 32% | 64% | 154% | 431% | 963% | -20%
Mappedin,description,Mappedin Inc_ is a mapping software provider specializing in indoor mapping and navigatio_. mappedin com FI Canada Ontario Waterloo mappedin,Inc_ is a mapping software provider specializing in indoor mapping and navigatio_. mappedin com FI Canada Ontario Waterloo mappedin
Mappedin,growth_metrics,~1% | 2% | ~1% | -7%6 | 28% | 48% | 86 %,~1% | 2% | -7% | 28% | 48% | 86 %
MarketUP,description,MarketUP is that offers comprehensive ERP solution_. business management platform marketup brasil,is that offers comprehensive ERP solution_. business management platform marketup brasil
MarketUP,company_address,"Avenida Paulista,854; 170 andar; Sao Paulo, Sao Paulo 01310913,","Avenida Paulista,854; 170 andar; Sao Paulo, Sao Paulo 01310913"
mater,growth_metrics,~5% | -7%6 | -7% | -16% | -16 % | 4% | 50% | 410%,~5% | -7% | -16% | -16 % | 4% | 50% | 410%
Meal Ticket,description,Meal Ticket is a software company that provides specialized solutions for foodservi__. mealticket com Boise meal-ticket,is a software company that provides specialized solutions for foodservi__. mealticket com Boise meal-ticket
Meal Ticket,growth_metrics,"3% | 10% | 10% | 6% | 51% | 127% | ""156%",3% | 10% | 6% | 51% | 127% | 156%
melonn,description,Melonn is = fulfillment services for logistics company specializing in ~commerce and:_ melonn com Colombia Antioquia Puerto Nare,is = fulfillment services for logistics company specializing in ~commerce and:_ melonn com Colombia Antioquia Puerto Nare
MI2107lz,growth_metrics,16% | 31% | 61% | 162% | 320% | 320%,16% | 31% | 61% | 162% | 320%
